id,cluster,prob_cluster_0,prob_cluster_1,prob_cluster_2
610.0,2,7.43188775307545e-05,1.4535404649034294e-17,0.999925681122467
611.0,1,9.391962561518111e-10,0.9999785432723457,2.1455788450660623e-05
612.0,2,1.957328459073125e-18,2.398989122491027e-34,1.0
613.0,1,1.4386235188820487e-16,0.9999999999998295,1.8790623869585073e-13
614.0,2,1.1034029485767772e-20,7.904953218646925e-07,0.9999992095046648
615.0,1,4.753114581588081e-19,1.0,6.314759740531611e-21
616.0,0,1.0,2.22834488020037e-59,4.5012232227229566e-29
617.0,1,2.320605333076502e-15,1.0,1.0123724897230003e-31
618.0,0,1.0,1.130857281658889e-49,3.134599173094033e-79
619.0,1,2.138187549952597e-25,1.0,1.0006382897667706e-48
620.0,0,0.9999999621304603,3.786952880416202e-08,2.14637660722505e-70
621.0,1,0.0017265226327974493,0.9982734773672158,1.446426838590974e-70
622.0,0,1.0,3.063799115769269e-46,6.920214933791956e-120
623.0,0,1.0,5.823562442415051e-18,8.172984576106969e-51
624.0,1,1.3199527609328908e-23,1.0,7.131324532909053e-21
625.0,2,3.3769854511696182e-21,2.1345519194430964e-25,1.0
626.0,2,1.3075561007903734e-21,1.2185418707374024e-06,0.9999987814581494
627.0,1,1.506182369315484e-14,0.9999999999999716,1.0579164209112423e-25
628.0,1,3.7718981640330176e-14,0.9999999999999432,4.197683726129082e-49
629.0,0,0.9999999999690772,7.563292146188228e-25,3.094378218231897e-11
630.0,1,5.518623474975014e-28,1.0,2.057436198378422e-17
631.0,2,2.2649473819184413e-14,5.55086095010847e-06,0.9999944491390254
632.0,1,0.0001867993722151419,0.9998132006277926,2.646930670685552e-22
633.0,1,1.3217183612176857e-20,1.0,4.250111553449674e-17
634.0,0,1.0,7.812460112327062e-86,8.538194309687277e-95
635.0,2,1.3907413622455327e-18,2.356275014714256e-63,1.0
636.0,1,1.3120833115187863e-13,0.9999999999998863,8.534018709174206e-74
637.0,0,0.9999999868371675,1.316285355970137e-08,3.5866746499677055e-30
638.0,1,4.328893557687185e-18,1.0,3.013326243069159e-82
639.0,2,8.093599817919221e-23,2.2587755070554447e-11,0.9999999999774332
